256,0.00014253,3.87096e+07,2.71589e+09,16,2
512,0.000221402,1.5606e+08,7.04873e+09,16,2
1024,0.000331523,6.2669e+08,1.89034e+10,16,2
2048,0.00144024,2.51167e+09,1.74393e+10,16,2
4096,0.00524524,1.00565e+10,1.91726e+10,16,2
8192,0.0200244,4.02457e+10,2.00983e+10,16,2
128,0.000106352,9.5256e+06,8.95669e+08,16,4
256,0.000129407,3.87096e+07,2.99131e+09,16,4
512,0.00022972,1.5606e+08,6.79348e+09,16,4
1024,0.000349626,6.2669e+08,1.79246e+10,16,4
2048,0.00128372,2.51167e+09,1.95656e+10,16,4
4096,0.00557645,1.00565e+10,1.80339e+10,16,4
8192,0.018563,4.02457e+10,2.16806e+10,16,4
128,9.30886e-05,9.5256e+06,1.02328e+09,20,1
256,0.000121113,3.87096e+07,3.19615e+09,20,1
512,0.000208174,1.5606e+08,7.49663e+09,20,1
1024,0.000447319,6.2669e+08,1.40099e+10,20,1
2048,0.00126468,2.51167e+09,1.98602e+10,20,1
4096,0.0043156,1.00565e+10,2.33027e+10,20,1
8192,0.016364,4.02457e+10,2.4594e+10,20,1
128,9.34661e-05,9.5256e+06,1.01915e+09,20,2
256,0.000128284,3.87096e+07,3.01749e+09,20,2
512,0.000215132,1.5606e+08,7.25414e+09,20,2
1024,0.000380379,6.2669e+08,1.64754e+10,20,2
2048,0.00127691,2.51167e+09,1.96699e+10,20,2
4096,0.00427652,1.00565e+10,2.35156e+10,20,2
8192,0.0165073,4.02457e+10,2.43805e+10,20,2
128,9.38892e-05,9.5256e+06,1.01456e+09,20,4
256,0.000121459,3.87096e+07,3.18705e+09,20,4
512,0.00021621,1.5606e+08,7.21797e+09,20,4
1024,0.000293912,6.2669e+08,2.13224e+10,20,4
2048,0.00107095,2.51167e+09,2.34527e+10,20,4
4096,0.00423406,1.00565e+10,2.37514e+10,20,4
8192,0.0169772,4.02457e+10,2.37057e+10,20,4
128,9.65329e-05,9.5256e+06,9.86773e+08,24,1
256,0.000118555,3.87096e+07,3.26512e+09,24,1
512,0.000211094,1.5606e+08,7.39292e+09,24,1
1024,0.00041109,6.2669e+08,1.52446e+10,24,1
2048,0.00129409,2.51167e+09,1.94087e+10,24,1
4096,0.00389032,1.00565e+10,2.58501e+10,24,1
8192,0.0162294,4.02457e+10,2.47979e+10,24,1
128,9.33473e-05,9.5256e+06,1.02045e+09,24,2
256,0.000121748,3.87096e+07,3.1795e+09,24,2
512,0.0002077,1.5606e+08,7.51371e+09,24,2
1024,0.000400224,6.2669e+08,1.56585e+10,24,2
2048,0.00103514,2.51167e+09,2.4264e+10,24,2
4096,0.00410658,1.00565e+10,2.44887e+10,24,2
8192,0.0163169,4.02457e+10,2.4665e+10,24,2
128,9.28658e-05,9.5256e+06,1.02574e+09,24,4
256,0.000128259,3.87096e+07,3.01807e+09,24,4
512,0.00020932,1.5606e+08,7.45557e+09,24,4
1024,0.000402928,6.2669e+08,1.55534e+10,24,4
2048,0.00105194,2.51167e+09,2.38765e+10,24,4
4096,0.00388191,1.00565e+10,2.59061e+10,24,4
8192,0.0164563,4.02457e+10,2.44561e+10,24,4
